Año,Mes,TiendaID,NombreTienda,ProductoID,StockFisico,StockSistema,Ajuste,Motivo
2025,4,6,Tienda Barranquilla,34,9,21,-12,Pérdida en transporte interno
2025,4,7,Tienda Bucaramanga,185,160,166,-6,Ajuste por vencimiento
2025,4,7,Tienda Bucaramanga,87,71,60,11,Devolución no registrada en sistema
2025,4,9,Tienda Pereira,79,129,124,5,Ingreso duplicado corregido
2025,5,3,Tienda Medellín Centro,49,85,94,-9,Producto deteriorado retirado
2025,5,4,Tienda Medellín El Poblado,200,139,139,0,Sin variación detectada
2025,5,6,Tienda Barranquilla,249,140,152,-12,Pérdida en transporte interno
2025,6,3,Tienda Medellín Centro,225,43,43,0,Auditoría confirma stock correcto
2025,6,7,Tienda Bucaramanga,1,34,38,-4,Merma por daño en bodega
2025,6,7,Tienda Bucaramanga,92,117,112,5,Devolución no registrada en sistema
2025,6,9,Tienda Pereira,61,162,164,-2,Diferencia por robo hormiga
2025,7,2,Tienda Bogotá Norte,20,78,78,0,Conteo cuadra con sistema
2025,7,3,Tienda Medellín Centro,123,175,166,9,Ingreso duplicado corregido
2025,7,3,Tienda Medellín Centro,35,180,180,0,Sin variación detectada
2025,7,4,Tienda Medellín El Poblado,154,58,55,3,Conteo físico muestra exceso
2025,7,6,Tienda Barranquilla,130,15,20,-5,Ajuste por vencimiento
2025,7,6,Tienda Barranquilla,152,60,70,-10,Diferencia por robo hormiga
2025,7,7,Tienda Bucaramanga,107,101,104,-3,Merma por daño en bodega
2025,7,9,Tienda Pereira,245,198,193,5,Ingreso duplicado corregido
2025,7,9,Tienda Pereira,225,95,106,-11,Diferencia por robo hormiga
2025,7,10,Tienda Manizales,41,71,82,-11,Pérdida en transporte interno
2025,8,2,Tienda Bogotá Norte,226,117,122,-5,Merma por daño en bodega
2025,8,9,Tienda Pereira,136,159,170,-11,Pérdida en transporte interno
2025,8,10,Tienda Manizales,217,181,189,-8,Pérdida en transporte interno
2025,9,3,Tienda Medellín Centro,187,133,142,-9,Diferencia por robo hormiga
2025,9,9,Tienda Pereira,98,98,105,-7,Diferencia por robo hormiga
2025,9,9,Tienda Pereira,33,89,77,12,Error de entrada manual
2025,9,10,Tienda Manizales,40,131,129,2,Error de entrada manual
2025,10,5,Tienda Cali Norte,123,9,10,-1,Diferencia por robo hormiga
2025,10,9,Tienda Pereira,19,65,68,-3,Pérdida en transporte interno
2025,11,1,Tienda Bogotá Centro,150,88,91,-3,Producto deteriorado retirado
2025,11,2,Tienda Bogotá Norte,37,82,89,-7,Diferencia por robo hormiga
2025,11,2,Tienda Bogotá Norte,201,58,70,-12,Pérdida en transporte interno
2025,11,3,Tienda Medellín Centro,131,123,123,0,Conteo cuadra con sistema
2025,11,3,Tienda Medellín Centro,20,154,146,8,Transferencia recibida sin registrar
2025,11,6,Tienda Barranquilla,202,127,132,-5,Ajuste por vencimiento
2025,12,1,Tienda Bogotá Centro,141,137,140,-3,Producto deteriorado retirado
2025,12,2,Tienda Bogotá Norte,187,161,150,11,Devolución no registrada en sistema
2025,12,3,Tienda Medellín Centro,193,79,80,-1,Pérdida en transporte interno
2025,12,3,Tienda Medellín Centro,84,165,155,10,Conteo físico muestra exceso
2025,12,6,Tienda Barranquilla,207,43,39,4,Conteo físico muestra exceso
2025,12,7,Tienda Bucaramanga,136,183,185,-2,Pérdida en transporte interno
2025,12,7,Tienda Bucaramanga,198,137,123,14,Ingreso duplicado corregido
2025,12,7,Tienda Bucaramanga,108,137,141,-4,Producto deteriorado retirado
